,BTC Price,Stock Price,BTC Holdings,Shares Outstanding,mNAV,Market Cap (USD),BTC per 1000 Shares,Market Cap to Dividends Ratio
2025,145921.5862268554,18.586615244066206,36313.43195879307,881716903.4836404,3.1941028378181615,17465333578.275425,0.04118491072964537,
2026,279399.97295175056,113.00245325447892,247001.93964746862,1689070735.6232445,2.8162191083423616,226610839322.50806,0.14623540295743043,2306.473084926051
2027,457989.2869509375,465.29834998071226,1330033.6807955322,3267200278.7433586,2.5863805079249933,2004451480619.4792,0.4070866697241756,7667.783527835607
