,BTC Price,Stock Price,BTC Holdings,Shares Outstanding,mNAV,Market Cap (USD),BTC per 1000 Shares,Market Cap to Dividends Ratio
2025,136799.8863662185,10.161031461529465,15024.359079349939,709492521.881057,3.4760275099044526,7551797862.913268,0.021176204985947265,
2026,189713.56181973178,31.126335381547527,66020.33238827033,1051753574.9010918,2.6026892230702448,45959800632.76721,0.06277167386331818,709.2354828882746
2027,223606.8113148079,74.79547390513233,227166.9137618429,1487154697.6846435,2.2269133753791643,186335698089.1347,0.15275271235435015,470.9575277450605
2028,320103.50715616875,182.7339615814721,576940.8932010327,2020997464.0889964,1.9686008779010793,677744888060.0696,0.28547333851361356,492.2690969785395
2029,470661.73921760794,348.6071262079269,1190483.4807782671,2803678183.5661645,1.7664356475181315,2057426507977.4402,0.42461488189205104,924.2352487776078
2030,613190.5755182148,572.8619768748234,1934273.499072868,3626718785.495713,1.738174534325993,4348702347774.022,0.5333398075441034,1769.401224519127
